订单创建日期,销售订单号,行项目号,幅宽,订单件数,移库日期
2024/2/17,0021044885,20,2100,7.000,2024/2/17
2024/2/17,0021044885,30,2350,3.000,2024/2/17
2024/2/17,0021044885,40,2450,1.000,2024/2/17
2024/2/17,0021044887,10,1040,1.000,2024/2/17
2024/2/17,0021044887,20,1850,15.000,2024/2/17
2024/2/17,0021044887,30,1950,15.000,2024/2/17
2024/2/17,0021044887,40,1950,16.000,2024/2/17
2024/2/17,0021044889,10,1400,38.000,2024/2/17
2024/2/17,0021044889,20,1150,19.000,2024/2/17
2024/2/17,0021044889,30,1250,14.000,2024/2/17
2024/2/17,0021044889,40,1300,37.000,2024/2/17
2024/2/17,0021044889,50,1500,44.000,2024/2/17
2024/2/17,0021044889,60,1600,41.000,2024/2/17
2024/2/17,0021044890,10,2700,2.000,2024/2/17
2024/2/17,0021044890,20,2500,32.000,2024/2/17
2024/2/17,0021044890,30,2300,20.000,2024/2/17
2024/2/17,0021044890,40,2100,10.000,2024/2/17
2024/2/17,0021044890,50,2600,9.000,2024/2/17
2024/2/17,0021044890,60,2400,28.000,2024/2/17
2024/2/17,0021044890,70,2200,15.000,2024/2/20
2024/2/17,0021044890,80,2600,30.000,2024/2/17
2024/2/17,0021044890,90,2700,30.000,2024/2/17
2024/2/17,0021044890,100,2800,23.000,2024/2/17
2024/2/17,0021044891,10,1600,6.000,2024/2/17
2024/2/17,0021044891,20,1800,7.000,2024/2/17
2024/2/17,0021044891,30,2100,1.000,2024/2/17
2024/2/17,0021044891,40,2250,5.000,2024/2/17
2024/2/17,0021044891,50,1450,8.000,2024/2/17
2024/2/17,0021044891,60,1750,3.000,2024/2/17
2024/2/17,0021044891,70,2200,2.000,2024/2/17
2024/2/17,0021044891,80,2400,9.000,2024/2/17
2024/2/17,0021044891,90,2450,5.000,2024/2/17
2024/2/17,0021044891,100,2500,3.000,2024/2/17
2024/2/17,0021044891,110,2600,10.000,2024/2/17
2024/2/17,0021044891,120,2700,10.000,2024/2/17
2024/2/17,0021044891,130,2800,12.000,2024/2/17
2024/2/17,0021044892,10,1600,2.000,2024/2/17
2024/2/17,0021044892,20,1750,2.000,2024/2/17
2024/2/17,0021044893,10,1950,4.000,2024/2/17
2024/2/17,0021044893,20,2000,4.000,2024/2/17
2024/2/17,0021044893,30,2050,3.000,2024/2/17
2024/2/17,0021044893,40,1700,2.000,2024/2/17
2024/2/17,0021044893,50,1750,2.000,2024/2/17
2024/2/17,0021044893,60,1900,4.000,2024/2/17
2024/2/17,0021044893,70,2100,4.000,2024/2/17
2024/2/17,0021044893,80,2250,15.000,2024/2/17
2024/2/17,0021044894,10,2450,5.000,2024/2/17
2024/2/17,0021044894,20,2500,1.000,2024/2/17
2024/2/17,0021044894,30,1950,1.000,2024/2/17
2024/2/17,0021044895,10,2600,3.000,2024/2/20
2024/2/17,0021044895,20,2350,7.000,2024/2/20
2024/2/17,0021044900,10,1670,13.000,2024/2/17
2024/2/17,0021044900,20,1070,15.000,2024/2/21
2024/2/17,0021044901,10,1900,5.000,2024/2/17
2024/2/17,0021044901,20,1950,5.000,2024/2/17
2024/2/17,0021044901,30,2000,5.000,2024/2/17
2024/2/17,0021044901,40,2050,3.000,2024/2/17
2024/2/17,0021044901,50,2600,5.000,2024/2/17
2024/2/17,0021044901,60,2600,4.000,2024/2/17
2024/2/17,0021044901,70,2800,5.000,2024/2/17
2024/2/17,0021044901,80,2150,5.000,2024/2/17
2024/2/17,0021044903,20,2450,3.000,2024/2/20
2024/2/17,0021044905,10,2300,5.000,2024/2/20
2024/2/17,0021044905,20,2200,8.000,2024/2/20
2024/2/17,0021044905,30,2500,5.000,2024/2/17
2024/2/17,0021044906,10,1900,1.000,2024/2/17
2024/2/17,0021044906,20,1800,1.000,2024/2/17
2024/2/17,0021044906,30,2400,2.000,2024/2/17
2024/2/17,0021044906,40,2100,2.000,2024/2/17
2024/2/17,0021044906,50,1300,2.000,2024/2/17
2024/2/17,0021044906,60,2500,2.000,2024/2/17
2024/2/17,0021044906,70,2300,3.000,2024/2/17
2024/2/17,0021044906,80,2200,2.000,2024/2/17
2024/2/17,0021044906,90,2200,2.000,2024/2/17
2024/2/17,0021044906,100,2300,2.000,2024/2/17
2024/2/17,0021044913,10,1300,20.000,2024/2/17
2024/2/17,0021044913,20,1750,8.000,2024/2/17
2024/2/17,0021044917,10,1300,2.000,2024/2/19
2024/2/17,0021044917,20,1450,2.000,2024/2/19
2024/2/17,0021044917,30,2150,1.000,2024/2/19
2024/2/17,0021044917,40,2350,1.000,2024/2/19
2024/2/17,0021044918,10,2050,1.000,2024/2/17
2024/2/17,0021044927,10,2100,1.000,2024/2/17
2024/2/17,0021044928,10,1550,6.000,2024/2/17
2024/2/17,0021044928,20,1000,6.000,2024/2/17
2024/2/17,0021044928,30,1350,8.000,2024/2/17
2024/2/17,0021044929,10,1400,2.000,2024/2/17
2024/2/17,0021044929,20,2300,6.000,2024/2/17
2024/2/17,0021044929,30,1350,6.000,2024/2/17
2024/2/17,0021044929,40,1350,6.000,2024/2/17
2024/2/17,0021044931,10,2200,2.000,2024/2/17
2024/2/17,0021044931,20,2200,3.000,2024/2/17
2024/2/17,0021044936,20,2600,2.000,2024/2/17
2024/2/17,0021044938,10,1350,8.000,2024/2/17
2024/2/17,0021044938,20,1550,1.000,2024/2/17
2024/2/17,0021044938,30,1550,5.000,2024/2/17
2024/2/17,0021044938,40,1000,6.000,2024/2/17
2024/2/17,0021044938,50,1500,8.000,2024/2/17
2024/2/17,0021044939,10,950,3.000,2024/2/17
2024/2/17,0021044939,20,1050,2.000,2024/2/17
2024/2/17,0021044939,40,1350,5.000,2024/2/17
2024/2/17,0021044939,50,1650,2.000,2024/2/17
2024/2/17,0021044939,60,1700,1.000,2024/2/17
2024/2/17,0021044939,70,1400,4.000,2024/2/17
2024/2/17,0021044939,80,1000,4.000,2024/2/17
2024/2/17,0021044939,90,1150,2.000,2024/2/17
2024/2/17,0021044939,100,1450,1.000,2024/2/17
2024/2/17,0021044939,110,1750,1.000,2024/2/17
2024/2/17,0021044939,120,1800,1.000,2024/2/17
2024/2/17,0021044940,10,1900,2.000,2024/2/17
2024/2/17,0021044947,10,1550,3.000,2024/2/17
2024/2/17,0021044947,50,2150,3.000,2024/2/17
2024/2/17,0021044947,60,2250,1.000,2024/2/17
2024/2/17,0021044947,70,2400,5.000,2024/2/17
2024/2/17,0021044947,80,2450,4.000,2024/2/17
2024/2/17,0021044947,100,2750,9.000,2024/2/17
2024/2/17,0021044947,140,2050,6.000,2024/2/17
2024/2/17,0021044947,180,2350,5.000,2024/2/17
2024/2/17,0021044947,190,2500,6.000,2024/2/17
2024/2/17,0021044947,200,2550,4.000,2024/2/17
2024/2/17,0021044947,210,2650,8.000,2024/2/17
2024/2/17,0021044950,10,2350,2.000,2024/2/17
2024/2/17,0021044950,20,2450,2.000,2024/2/17
2024/2/17,0021044950,30,2400,2.000,2024/2/17
2024/2/17,0021044950,40,2500,2.000,2024/2/17
2024/2/17,0021044952,10,1700,1.000,2024/2/17
2024/2/17,0021044952,20,1750,1.000,2024/2/17
2024/2/17,0021044952,30,1800,1.000,2024/2/17
2024/2/17,0021044958,10,1300,2.000,2024/2/17
2024/2/17,0021044958,20,1650,1.000,2024/2/17
2024/2/17,0021044958,30,2050,13.000,2024/2/17
2024/2/17,0021044958,40,1900,2.000,2024/2/17
2024/2/17,0021044958,50,2350,2.000,2024/2/17
2024/2/17,0021044958,60,1600,1.000,2024/2/17
2024/2/17,0021044958,70,1600,1.000,2024/2/17
2024/2/17,0021044958,80,1750,1.000,2024/2/17
2024/2/17,0021044960,10,1550,6.000,2024/2/22
2024/2/17,0021044960,30,1350,8.000,2024/2/22
2024/2/17,0021044960,40,1500,8.000,2024/2/22
2024/2/17,0021044961,10,1540,4.000,2024/2/17
2024/2/17,0021044961,20,1450,10.000,2024/2/17
2024/2/17,0021044961,30,1400,5.000,2024/2/17
2024/2/17,0021044961,40,1550,7.000,2024/2/17
2024/2/17,0021044961,50,1530,1.000,2024/2/17
2024/2/17,0021044962,10,1550,2.000,2024/2/22
2024/2/17,0021044962,20,1750,2.000,2024/2/22
2024/2/17,0021044962,30,2250,1.000,2024/2/22
2024/2/17,0021044962,40,2350,1.000,2024/2/22
2024/2/17,0021044962,50,2650,1.000,2024/2/21
2024/2/17,0021044962,60,2750,1.000,2024/2/21
2024/2/17,0021044962,70,1450,1.000,2024/2/21
2024/2/17,0021044962,80,1650,4.000,2024/2/21
2024/2/17,0021044962,90,1950,5.000,2024/2/19
2024/2/17,0021044962,100,2000,3.000,2024/2/21
2024/2/17,0021044962,110,2100,1.000,2024/2/21
2024/2/17,0021044962,120,2150,1.000,2024/2/21
2024/2/17,0021044962,130,2400,1.000,2024/2/21
2024/2/17,0021044962,140,2500,2.000,2024/2/21
2024/2/17,0021044962,150,2700,2.000,2024/2/21
2024/2/17,0021044962,160,2800,1.000,2024/2/21
2024/2/17,0021044963,10,1500,7.000,2024/2/17
2024/2/17,0021044963,20,1550,5.000,2024/2/17
2024/2/17,0021044963,30,1600,8.000,2024/2/17
2024/2/17,0021044963,40,1650,4.000,2024/2/17
2024/2/17,0021044963,50,1700,5.000,2024/2/17
2024/2/17,0021044963,60,1750,3.000,2024/2/17
2024/2/17,0021044963,70,1800,6.000,2024/2/17
2024/2/17,0021044963,80,1850,2.000,2024/2/17
2024/2/17,0021044963,90,1900,3.000,2024/2/17
2024/2/17,0021044963,100,1950,3.000,2024/2/17
2024/2/17,0021044963,110,2000,3.000,2024/2/17
2024/2/17,0021044963,120,2050,3.000,2024/2/17
2024/2/17,0021044963,130,2100,5.000,2024/2/17
2024/2/17,0021044963,140,2150,2.000,2024/2/17
2024/2/17,0021044963,150,2200,5.000,2024/2/17
2024/2/17,0021044963,160,1550,3.000,2024/2/17
2024/2/17,0021044963,170,1650,2.000,2024/2/17
2024/2/17,0021044963,180,1700,4.000,2024/2/17
2024/2/17,0021044963,190,1750,1.000,2024/2/17
2024/2/17,0021044963,200,1800,1.000,2024/2/17
2024/2/17,0021044963,210,1850,1.000,2024/2/17
2024/2/17,0021044963,220,1900,1.000,2024/2/17
2024/2/17,0021044963,230,1950,1.000,2024/2/17
2024/2/17,0021044963,240,2100,2.000,2024/2/17
2024/2/17,0021044963,250,2200,3.000,2024/2/17
2024/2/17,0021044966,10,1550,1.000,2024/2/17
2024/2/17,0021044966,20,2450,1.000,2024/2/19
2024/2/17,0021044966,30,2400,1.000,2024/2/17
2024/2/17,0021044966,40,2550,2.000,2024/2/17
2024/2/17,0021044966,50,2750,1.000,2024/2/17
2024/2/17,0021044968,10,2200,3.000,2024/2/22
2024/2/17,0021044968,20,2000,2.000,2024/2/22
2024/2/17,0021044968,30,2200,3.000,2024/2/17
2024/2/17,0021044971,20,2800,1.000,2024/2/17
2024/2/17,0021044974,10,2400,3.000,2024/2/17
2024/2/17,0021044974,20,2300,3.000,2024/2/17
2024/2/17,0021044974,30,2200,3.000,2024/2/17
2024/2/17,0021044974,40,2100,3.000,2024/2/17
2024/2/17,0021044974,50,2000,3.000,2024/2/17
2024/2/17,0021044974,60,1600,3.000,2024/2/17
2024/2/17,0021044974,70,1900,3.000,2024/2/17
2024/2/17,0021044974,80,1800,3.000,2024/2/17
2024/2/17,0021044974,90,1700,3.000,2024/2/17
2024/2/17,0021044974,100,1500,3.000,2024/2/17
2024/2/17,0021044976,10,1400,1.000,2024/2/17
2024/2/17,0021044976,20,1410,3.000,2024/2/17
2024/2/17,0021044981,10,2300,3.000,2024/2/17
2024/2/17,0021044981,20,2200,3.000,2024/2/17
2024/2/17,0021044981,30,1900,3.000,2024/2/17
2024/2/17,0021044981,40,2500,2.000,2024/2/17
2024/2/17,0021044981,50,2100,3.000,2024/2/17
2024/2/17,0021044981,60,1700,2.000,2024/2/17
2024/2/17,0021044981,70,1600,2.000,2024/2/17
2024/2/17,0021044981,80,1400,2.000,2024/2/17
2024/2/17,0021044983,10,2500,7.000,2024/2/17
2024/2/17,0021044983,20,2200,2.000,2024/2/17
2024/2/17,0021044983,30,1900,1.000,2024/2/17
2024/2/17,0021044983,40,1500,2.000,2024/2/17
2024/2/17,0021044983,50,1600,2.000,2024/2/17
2024/2/17,0021044983,60,2000,2.000,2024/2/17
2024/2/17,0021044983,70,2800,2.000,2024/2/17
2024/2/17,0021044983,80,2300,2.000,2024/2/17
2024/2/17,0021044988,10,950,80.000,2024/2/17
2024/2/17,0021044990,10,2700,4.000,2024/2/17
2024/2/17,0021044990,20,2800,3.000,2024/2/17
2024/2/17,0021044990,50,1450,1.000,2024/2/17
2024/2/17,0021044990,60,2300,1.000,2024/2/17
2024/2/17,0021044990,70,2400,1.000,2024/2/17
2024/2/17,0021044992,10,1850,1.000,2024/2/17
2024/2/17,0021044992,20,2150,4.000,2024/2/17
2024/2/17,0021044992,30,1900,7.000,2024/2/17
2024/2/17,0021044992,40,1750,3.000,2024/2/17
2024/2/17,0021044994,10,1800,2.000,2024/2/17
2024/2/17,0021044996,10,1900,3.000,2024/2/17
2024/2/17,0021044996,20,2300,3.000,2024/2/17
2024/2/17,0021044996,30,2400,3.000,2024/2/17
2024/2/17,0021044996,40,1400,3.000,2024/2/17
2024/2/17,0021044996,60,1500,3.000,2024/2/17
2024/2/17,0021044996,70,1800,3.000,2024/2/17
2024/2/17,0021044996,80,2100,2.000,2024/2/17
2024/2/17,0021044996,90,2500,2.000,2024/2/17
2024/2/17,0021044996,100,1700,3.000,2024/2/17
2024/2/17,0021044996,110,2100,3.000,2024/2/17
2024/2/17,0021044996,120,1900,3.000,2024/2/17
2024/2/17,0021044996,130,2000,3.000,2024/2/17
2024/2/17,0021044996,140,2400,3.000,2024/2/17
2024/2/17,0021044998,10,1600,8.000,2024/2/17
2024/2/17,0021044998,20,1400,4.000,2024/2/17
2024/2/17,0021044998,40,1400,4.000,2024/2/17
2024/2/17,0021044998,50,2100,1.000,2024/2/17
2024/2/17,0021045002,10,1650,4.000,2024/2/17
2024/2/17,0021045002,20,1750,4.000,2024/2/17
2024/2/17,0021045013,10,2700,8.000,2024/2/17
2024/2/17,0021045013,20,1500,5.000,2024/2/17
2024/2/17,0021045015,10,1750,1.000,2024/2/17
2024/2/17,0021045015,20,2000,1.000,2024/2/17
2024/2/17,0021045015,30,1700,1.000,2024/2/17
2024/2/17,0021045015,50,2200,1.000,2024/2/17
2024/2/17,0021045019,10,2200,15.000,2024/2/22
2024/2/17,0021045019,20,2300,7.000,2024/2/22
2024/2/17,0021045019,30,2400,6.000,2024/2/17
2024/2/17,0021045019,40,2000,3.000,2024/2/22
2024/2/17,0021045019,50,2500,3.000,2024/2/17
2024/2/17,0021045020,10,2100,4.000,2024/2/17
2024/2/17,0021045020,20,2300,10.000,2024/2/17
2024/2/17,0021045022,10,2100,2.000,2024/2/19
2024/2/17,0021045022,20,2200,3.000,2024/2/19
2024/2/17,0021045022,30,2300,2.000,2024/2/19
2024/2/17,0021045022,40,1800,1.000,2024/2/19
2024/2/17,0021045022,50,1900,1.000,2024/2/19
2024/2/17,0021045022,60,2100,1.000,2024/2/19
2024/2/17,0021045022,90,1850,1.000,2024/2/19
2024/2/17,0021045022,100,2300,3.000,2024/2/19
2024/2/17,0021045023,10,1600,4.000,2024/2/17
2024/2/17,0021045023,20,1850,2.000,2024/2/17
2024/2/17,0021045023,30,2400,1.000,2024/2/17
2024/2/17,0021045024,20,1600,8.000,2024/2/17
2024/2/17,0021045024,30,1250,8.000,2024/2/17
2024/2/17,0021045024,40,1300,4.000,2024/2/17
2024/2/17,0021045024,50,1450,8.000,2024/2/17
2024/2/17,0021045025,10,1750,8.000,2024/2/20
2024/2/17,0021045025,20,1650,4.000,2024/2/20
2024/2/17,0021045025,40,1800,4.000,2024/2/17
2024/2/17,0021045025,50,1650,3.000,2024/2/20
2024/2/17,0021045025,60,1750,2.000,2024/2/20
2024/2/17,0021045031,30,1750,4.000,2024/2/20
2024/2/17,0021045031,60,1200,2.000,2024/2/20
2024/2/17,0021045031,70,2100,4.000,2024/2/20
2024/2/17,0021045031,120,1600,2.000,2024/2/20
2024/2/17,0021045031,130,1550,4.000,2024/2/18
2024/2/17,0021045031,150,1400,2.000,2024/2/20
2024/2/17,0021045031,160,1250,3.000,2024/2/20
2024/2/17,0021045031,170,1150,3.000,2024/2/20
2024/2/17,0021045031,180,2050,3.000,2024/2/20
2024/2/17,0021045031,200,1600,2.000,2024/2/20
2024/2/17,0021045031,210,1450,2.000,2024/2/20
2024/2/17,0021045031,220,2100,2.000,2024/2/20
2024/2/17,0021045031,270,1650,3.000,2024/2/20
2024/2/18,0021045051,10,2150,4.000,2024/2/18
2024/2/18,0021045051,20,2200,4.000,2024/2/18
2024/2/18,0021045051,30,2050,4.000,2024/2/18
2024/2/18,0021045051,50,1900,6.000,2024/2/18
2024/2/18,0021045055,10,1700,1.000,2024/2/18
2024/2/18,0021045056,10,1200,4.000,2024/2/22
2024/2/18,0021045056,20,1350,4.000,2024/2/22
2024/2/18,0021045056,30,1400,70.000,2024/2/22
2024/2/18,0021045056,40,1550,7.000,2024/2/22
2024/2/18,0021045056,50,1650,8.000,2024/2/22
2024/2/18,0021045056,60,1800,8.000,2024/2/22
2024/2/18,0021045056,70,1850,8.000,2024/2/22
2024/2/18,0021045056,80,1950,8.000,2024/2/19
2024/2/18,0021045056,90,2100,8.000,2024/2/22
2024/2/18,0021045056,100,1150,20.000,2024/2/22
2024/2/18,0021045056,110,1250,20.000,2024/2/22
2024/2/18,0021045056,120,1300,20.000,2024/2/22
2024/2/18,0021045056,130,1450,5.000,2024/2/22
2024/2/18,0021045056,140,1500,7.000,2024/2/22
2024/2/18,0021045056,150,1600,8.000,2024/2/19
2024/2/18,0021045056,160,1700,8.000,2024/2/22
2024/2/18,0021045056,170,1750,8.000,2024/2/22
2024/2/18,0021045056,180,1900,8.000,2024/2/22
2024/2/18,0021045056,190,2000,4.000,2024/2/22
2024/2/18,0021045056,200,2050,4.000,2024/2/22
2024/2/18,0021045056,210,2150,3.000,2024/2/19
2024/2/18,0021045064,10,1900,2.000,2024/2/18
2024/2/18,0021045068,10,1400,2.000,2024/2/18
2024/2/18,0021045068,20,1500,2.000,2024/2/18
2024/2/18,0021045068,30,1600,2.000,2024/2/18
2024/2/18,0021045068,40,1900,2.000,2024/2/18
2024/2/18,0021045068,50,2300,2.000,2024/2/18
2024/2/18,0021045068,60,2300,2.000,2024/2/18
2024/2/18,0021045074,20,900,2.000,2024/2/22
2024/2/18,0021045074,30,1350,2.000,2024/2/22
2024/2/18,0021045077,10,1700,1.000,2024/2/18
2024/2/18,0021045077,20,2150,1.000,2024/2/18
2024/2/18,0021045077,30,2400,2.000,2024/2/18
2024/2/18,0021045077,40,1650,2.000,2024/2/18
2024/2/18,0021045077,50,1750,1.000,2024/2/19
2024/2/18,0021045077,60,1800,1.000,2024/2/18
2024/2/18,0021045077,70,2250,1.000,2024/2/18
2024/2/18,0021045092,10,1000,4.000,2024/2/18
2024/2/18,0021045092,20,1400,2.000,2024/2/18
2024/2/18,0021045092,30,1450,2.000,2024/2/18
2024/2/18,0021045092,40,1500,1.000,2024/2/18
2024/2/18,0021045092,50,1800,1.000,2024/2/18
2024/2/18,0021045092,60,1700,2.000,2024/2/18
2024/2/18,0021045092,70,1150,1.000,2024/2/18
2024/2/18,0021045092,80,1300,2.000,2024/2/18
2024/2/18,0021045092,90,1700,3.000,2024/2/18
2024/2/18,0021045092,100,1350,3.000,2024/2/18
2024/2/18,0021045092,110,1700,1.000,2024/2/18
2024/2/18,0021045092,120,1300,1.000,2024/2/18
2024/2/18,0021045100,10,1830,3.000,2024/2/18
2024/2/18,0021045103,10,2800,1.000,2024/2/18
2024/2/18,0021045103,20,2700,5.000,2024/2/18
2024/2/18,0021045103,30,1800,3.000,2024/2/18
2024/2/18,0021045103,40,2500,5.000,2024/2/18
2024/2/18,0021045103,50,2750,2.000,2024/2/18
2024/2/18,0021045108,10,2050,1.000,2024/2/18
2024/2/18,0021045108,20,1700,3.000,2024/2/18
2024/2/18,0021045114,10,1200,3.000,2024/2/18
2024/2/18,0021045114,20,1400,2.000,2024/2/18
2024/2/18,0021045115,10,1750,15.000,2024/2/18
2024/2/18,0021045124,20,2450,1.000,2024/2/18
2024/2/18,0021045124,30,1000,1.000,2024/2/18
2024/2/18,0021045124,40,1850,1.000,2024/2/18
2024/2/18,0021045124,50,1600,1.000,2024/2/18
2024/2/18,0021045124,80,2100,1.000,2024/2/18
2024/2/18,0021045136,10,2750,5.000,2024/2/18
2024/2/18,0021045136,20,1950,8.000,2024/2/18
2024/2/18,0021045136,30,1950,1.000,2024/2/18
2024/2/18,0021045136,40,1900,6.000,2024/2/18
2024/2/18,0021045136,50,2000,6.000,2024/2/18
2024/2/18,0021045136,60,2600,5.000,2024/2/18
2024/2/18,0021045136,70,1800,6.000,2024/2/18
2024/2/18,0021045136,80,2400,4.000,2024/2/18
2024/2/18,0021045136,90,2700,4.000,2024/2/18
2024/2/18,0021045136,100,2800,4.000,2024/2/18
2024/2/18,0021045136,110,1950,4.000,2024/2/18
2024/2/18,0021045136,120,2150,4.000,2024/2/18
2024/2/18,0021045136,130,2200,4.000,2024/2/18
2024/2/18,0021045137,10,1350,4.000,2024/2/18
2024/2/18,0021045137,20,1800,6.000,2024/2/18
2024/2/18,0021045138,10,1700,7.000,2024/2/18
2024/2/18,0021045142,10,2450,3.000,2024/2/19
2024/2/18,0021045142,20,1750,1.000,2024/2/19
2024/2/18,0021045142,30,2450,2.000,2024/2/19
2024/2/18,0021045142,50,2350,3.000,2024/2/19
2024/2/18,0021045142,70,2200,2.000,2024/2/19
2024/2/18,0021045142,80,2350,2.000,2024/2/19
2024/2/18,0021045144,20,1400,2.000,2024/2/18
2024/2/18,0021045144,30,1450,2.000,2024/2/18
2024/2/18,0021045144,40,1500,2.000,2024/2/18
2024/2/18,0021045144,50,1550,4.000,2024/2/18
2024/2/18,0021045144,60,1600,2.000,2024/2/18
2024/2/18,0021045144,70,1650,2.000,2024/2/18
2024/2/18,0021045144,80,1700,2.000,2024/2/18
2024/2/18,0021045144,90,1750,3.000,2024/2/18
2024/2/18,0021045144,100,1800,2.000,2024/2/18
2024/2/18,0021045144,110,1850,2.000,2024/2/18
2024/2/18,0021045144,120,1900,2.000,2024/2/18
2024/2/18,0021045144,130,1950,2.000,2024/2/18
2024/2/18,0021045144,140,2000,4.000,2024/2/18
2024/2/18,0021045144,150,2050,2.000,2024/2/18
2024/2/18,0021045144,160,2100,4.000,2024/2/18
2024/2/18,0021045144,170,2150,2.000,2024/2/18
2024/2/18,0021045144,180,2200,3.000,2024/2/18
2024/2/18,0021045144,190,2250,2.000,2024/2/18
2024/2/18,0021045144,200,2300,1.000,2024/2/18
2024/2/18,0021045144,210,2450,2.000,2024/2/18
2024/2/18,0021045152,10,2800,12.000,2024/2/18
2024/2/18,0021045153,10,2150,6.000,2024/2/18
2024/2/18,0021045153,20,2000,5.000,2024/2/18
2024/2/18,0021045153,30,2050,3.000,2024/2/18
2024/2/18,0021045153,40,2300,5.000,2024/2/18
2024/2/18,0021045153,50,2250,2.000,2024/2/18
2024/2/18,0021045157,10,2300,18.000,2024/2/18
2024/2/18,0021045161,20,2250,3.000,2024/2/18
2024/2/18,0021045161,30,2300,4.000,2024/2/18
2024/2/18,0021045161,40,2100,3.000,2024/2/18
2024/2/18,0021045161,50,2200,2.000,2024/2/18
2024/2/18,0021045161,60,2400,2.000,2024/2/18
2024/2/18,0021045161,70,2200,2.000,2024/2/18
2024/2/18,0021045166,10,1600,5.000,2024/2/19
2024/2/18,0021045166,20,1500,5.000,2024/2/19
2024/2/18,0021045166,30,1800,34.000,2024/2/19
2024/2/18,0021045166,40,1700,5.000,2024/2/19
2024/2/18,0021045167,10,950,1.000,2024/2/18
2024/2/18,0021045167,20,1400,1.000,2024/2/18
2024/2/18,0021045167,30,1300,1.000,2024/2/18
2024/2/18,0021045169,10,1600,6.000,2024/2/21
2024/2/18,0021045169,20,1800,12.000,2024/2/18
2024/2/18,0021045169,30,1700,4.000,2024/2/21
2024/2/18,0021045170,10,1950,1.000,2024/2/18
2024/2/18,0021045171,10,2600,4.000,2024/2/18
2024/2/18,0021045171,20,2800,14.000,2024/2/18
2024/2/18,0021045171,30,2500,4.000,2024/2/18
2024/2/18,0021045171,40,2600,7.000,2024/2/18
2024/2/18,0021045174,10,1350,4.000,2024/2/22
2024/2/18,0021045174,20,1400,3.000,2024/2/18
2024/2/18,0021045174,30,2250,4.000,2024/2/22
2024/2/18,0021045174,40,1400,2.000,2024/2/18
2024/2/18,0021045174,50,2300,8.000,2024/2/22
2024/2/18,0021045178,10,1300,4.000,2024/2/21
2024/2/18,0021045182,10,1000,10.000,2024/2/18
2024/2/18,0021045183,10,1350,20.000,2024/2/18
2024/2/18,0021045183,20,1350,2.000,2024/2/18
2024/2/18,0021045183,30,1600,1.000,2024/2/18
2024/2/18,0021045183,40,1350,2.000,2024/2/18
2024/2/18,0021045183,50,1400,2.000,2024/2/18
2024/2/18,0021045183,70,2000,1.000,2024/2/18
2024/2/18,0021045184,10,2400,1.000,2024/2/18
2024/2/18,0021045184,20,2000,3.000,2024/2/18
2024/2/18,0021045184,30,2500,2.000,2024/2/18
2024/2/18,0021045190,10,2500,6.000,2024/2/19
2024/2/18,0021045190,20,2300,5.000,2024/2/19
2024/2/18,0021045190,40,1700,8.000,2024/2/19
2024/2/18,0021045191,10,1950,1.000,2024/2/18
2024/2/18,0021045191,20,2300,1.000,2024/2/18
2024/2/18,0021045191,30,2200,7.000,2024/2/18
2024/2/18,0021045191,40,2100,1.000,2024/2/18
2024/2/18,0021045191,50,2300,1.000,2024/2/18
2024/2/18,0021045191,60,1700,2.000,2024/2/18
2024/2/18,0021045191,70,1850,2.000,2024/2/18
2024/2/18,0021045191,80,2250,1.000,2024/2/18
2024/2/18,0021045191,90,2350,1.000,2024/2/18
2024/2/18,0021045191,100,1850,3.000,2024/2/18
2024/2/18,0021045192,10,1500,2.000,2024/2/18
2024/2/18,0021045192,20,1400,6.000,2024/2/18
2024/2/18,0021045192,30,1700,10.000,2024/2/18
2024/2/18,0021045193,10,2500,3.000,2024/2/18
2024/2/18,0021045193,20,2100,2.000,2024/2/18
2024/2/18,0021045193,30,2000,2.000,2024/2/18
2024/2/18,0021045193,40,1950,4.000,2024/2/18
2024/2/18,0021045193,50,2450,2.000,2024/2/18
2024/2/18,0021045193,60,1750,2.000,2024/2/18
2024/2/18,0021045193,70,1900,1.000,2024/2/18
2024/2/18,0021045193,80,1850,1.000,2024/2/18
2024/2/18,0021045193,90,2500,7.000,2024/2/18
2024/2/18,0021045194,10,1700,5.000,2024/2/18
2024/2/18,0021045194,20,2300,3.000,2024/2/18
2024/2/18,0021045194,30,2400,3.000,2024/2/18
2024/2/18,0021045194,40,2450,2.000,2024/2/18
2024/2/18,0021045194,50,2200,2.000,2024/2/18
2024/2/18,0021045199,10,1250,1.000,2024/2/18
2024/2/18,0021045199,20,2200,1.000,2024/2/18
2024/2/18,0021045199,30,2200,1.000,2024/2/18
2024/2/18,0021045199,40,1950,1.000,2024/2/18
2024/2/18,0021045201,20,1500,1.000,2024/2/18
2024/2/18,0021045206,10,1200,1.000,2024/2/18
2024/2/18,0021045208,10,1060,2.000,2024/2/18
2024/2/18,0021045208,20,1300,2.000,2024/2/18
2024/2/18,0021045208,30,1800,2.000,2024/2/18
2024/2/18,0021045208,50,1750,4.000,2024/2/18
2024/2/18,0021045208,60,1200,6.000,2024/2/18
2024/2/18,0021045210,10,1550,2.000,2024/2/18
2024/2/18,0021045212,10,1150,2.000,2024/2/18
2024/2/18,0021045212,20,1200,3.000,2024/2/18
